id,day,temperature,light_intensity,logger
378,3,11.52777778,12,11
379,3,12.30388889,184,11
380,3,13.65388889,272,11
381,3,15.66388889,608,11
382,3,28.655,1408,11
383,3,17.28388889,432,11
384,3,17.95,336,11
385,3,32.6,12288,11
386,3,19.37722222,136,11
387,3,21.76,248,11
388,3,20.71,58,11
389,3,20.04277778,30,11
390,3,19.94777778,0,11
391,3,19.85277778,0,11
392,3,19.09222222,0,11
393,3,18.42611111,0,11
394,3,17.76,0,11
395,4,17.37888889,0,11
396,4,16.99888889,0,11
397,4,16.71277778,0,11
398,4,16.52277778,0,11
399,4,16.42722222,0,11
400,4,15.95111111,0,11
401,4,15.95111111,0,11
402,4,16.04611111,6,11
403,4,16.42722222,118,11
404,4,17.28388889,352,11
405,4,25.22222222,10752,11
406,4,23.38777778,1856,11
407,4,20.90111111,1280,11
408,4,21.18722222,1088,11
409,4,21.56888889,1152,11
410,4,21.76,704,11
411,4,22.23777778,480,11
412,4,22.04611111,248,11
413,4,21.76,38,11
414,4,21.56888889,0,11
415,4,21.28222222,0,11
416,4,20.99611111,0,11
417,4,20.71,0,11
418,4,20.51888889,0,11
419,5,20.13777778,0,11
420,5,20.04277778,0,11
421,5,19.75777778,0,11
422,5,19.75777778,0,11
423,5,19.28222222,0,11
424,5,17.37888889,0,11
425,5,17.37888889,0,11
426,5,17.475,3,11
427,5,17.475,232,11
428,5,17.57,608,11
429,5,18.42611111,800,11
430,5,18.42611111,480,11
431,5,20.23388889,1088,11
432,5,20.615,992,11
433,5,21.76,4096,11
434,5,20.71,800,11
435,5,19.94777778,336,11
436,5,19.09222222,184,11
437,5,18.42611111,7,11
438,5,18.42611111,0,11
439,5,17.665,0,11
440,5,17.37888889,0,11
441,5,17.28388889,0,11
442,5,16.80777778,0,11
443,6,16.52277778,0,11
444,6,14.51722222,0,11
445,6,13.84611111,0,11
446,6,12.98,0,11
447,6,12.11,0,11
448,6,11.52777778,0,11
449,6,11.13888889,0,11
450,6,10.94388889,0,11
451,6,10.74777778,23,11
452,6,10.74777778,62,11
453,6,11.33388889,208,11
454,6,11.43111111,152,11
455,6,11.52777778,128,11
456,6,11.43111111,144,11
457,6,11.91611111,208,11
458,6,11.81888889,114,11
459,6,11.91611111,77,11
460,6,11.81888889,49,11
461,6,12.59388889,14,11
462,6,13.17277778,0,11
463,6,13.26888889,0,11
464,6,13.365,0,11
465,6,13.65388889,0,11
466,6,13.46111111,0,11
467,7,13.65388889,0,11
468,7,13.46111111,0,11
469,7,12.30388889,0,11
470,7,11.91611111,0,11
471,7,12.11,0,11
472,7,12.59388889,0,11
473,7,12.49722222,0,11
474,7,12.69,0,11
475,7,12.78722222,25,11
476,7,12.88277778,86,11
477,7,13.365,368,11
478,7,14.03777778,384,11
479,7,14.80388889,768,11
480,7,14.9,608,11
481,7,14.61277778,432,11
482,7,14.70888889,672,11
483,7,14.70888889,160,11
484,7,14.325,216,11
485,7,14.325,36,11
486,7,13.94222222,0,11
487,7,14.13388889,0,11
488,7,14.42111111,0,11
